,fresh,rotten,diferenca_abs
area,68554.84333333334,68605.45666666667,50.61333333332732
perimeter,1079.6693999429544,1043.482671800852,36.18672814210254
mean_H,47.052691267119805,18.451180164594454,28.60151110252535
std_H,32.317533607518776,15.8418821576275,16.475651449891274
std_V,30.410656607389488,37.35363018609531,6.942973578705821
mean_R,178.06674917251078,184.55974296176637,6.492993789255593
std_B,33.44211629255097,27.938031914358962,5.504084378192008
glcm_contrast,156.825518079982,151.52462731662382,5.300890763358183
std_R,32.15453455015435,37.3578899345864,5.203355384432051
std_S,32.773977506423854,27.797810041725413,4.976167464698442
mean_S,155.77518123918045,151.28168263449191,4.49349860468854
std_G,36.01244139870061,38.30777776416854,2.295336365467932
mean_G,122.26347516404843,120.86269951422469,1.4007756498237427
hu5,-0.8947722007032998,-2.2932221572707743,1.3984499565674744
hu6,0.07602846887672253,-0.9282099421652071,1.0042384110419296
mean_V,185.46744108209086,184.6176311156242,0.8498099664666654
hu4,6.371946641097413,7.096972491332646,0.7250258502352329
hu3,4.2267410982479925,4.633245610890146,0.4065045126421536
mean_B,76.2617852304781,75.96317236877692,0.29861286170117296
hu7,-1.024044022118206,-0.7597310034063056,0.2643130187119005
circularity,0.7191147737656239,0.7845850748586158,0.0654703010929919
glcm_homogeneity,0.7149071011904957,0.6693241656304614,0.04558293556003434
lbp_4,0.2852979277830735,0.323782396334648,0.0384844685515745
lbp_8,0.09809822805686838,0.061632918526122585,0.036465309530745796
hu2,3.8553021599598907,3.8236516071170574,0.031650552842833246
extent,0.7331305132816253,0.7520110355833242,0.0188805223016989
solidity,0.9553307314426825,0.9693760072631519,0.014045275820469327
lbp_7,0.06041507520527032,0.04910112099337358,0.011313954211896737
lbp_5,0.2347007167155355,0.22659053991025582,0.008110176805279673
lbp_2,0.022683373739530895,0.0298906993524063,0.007207325612875404
hu1,0.7826619602535666,0.7878833520079893,0.005221391754422711
lbp_9,0.04539443889255305,0.04943636502164666,0.004041926129093612
lbp_3,0.13399790066250264,0.13785812848150591,0.0038602278190032757
lbp_1,0.02464781430585501,0.02815615170713144,0.0035083374012764325
lbp_6,0.08505152573955956,0.08190040162953723,0.0031511241100223297
eccentricity,0.38497053168033446,0.3818665268950493,0.0031040047852851638
lbp_0,0.009712998899251202,0.011651278043372465,0.0019382791441212629
glcm_correlation,0.9838378902031231,0.9848706590389871,0.0010327688358640064
glcm_energy,0.49638561781639357,0.495798984085341,0.0005866337310525549
